Mes,Valdivia: (Todo el mundo)
2004-01,30
2004-02,36
2004-03,33
2004-04,25
2004-05,19
2004-06,32
2004-07,27
2004-08,18
2004-09,23
2004-10,29
2004-11,30
2004-12,18
2005-01,58
2005-02,26
2005-03,18
2005-04,18
2005-05,14
2005-06,29
2005-07,32
2005-08,23
2005-09,28
2005-10,25
2005-11,22
2005-12,26
2006-01,39
2006-02,44
2006-03,23
2006-04,26
2006-05,21
2006-06,23
2006-07,16
2006-08,26
2006-09,27
2006-10,20
2006-11,26
2006-12,23
2007-01,33
2007-02,36
2007-03,21
2007-04,27
2007-05,23
2007-06,17
2007-07,22
2007-08,23
2007-09,27
2007-10,28
2007-11,25
2007-12,31
2008-01,42
2008-02,45
2008-03,30
2008-04,24
2008-05,24
2008-06,28
2008-07,31
2008-08,30
2008-09,29
2008-10,32
2008-11,26
2008-12,29
2009-01,42
2009-02,44
2009-03,29
2009-04,32
2009-05,28
2009-06,31
2009-07,29
2009-08,31
2009-09,31
2009-10,34
2009-11,33
2009-12,32
2010-01,50
2010-02,63
2010-03,35
2010-04,32
2010-05,33
2010-06,32
2010-07,35
2010-08,32
2010-09,31
2010-10,32
2010-11,35
2010-12,35
2011-01,49
2011-02,50
2011-03,38
2011-04,33
2011-05,31
2011-06,33
2011-07,32
2011-08,32
2011-09,30
2011-10,32
2011-11,38
2011-12,34
2012-01,52
2012-02,59
2012-03,37
2012-04,31
2012-05,33
2012-06,29
2012-07,34
2012-08,35
2012-09,34
2012-10,39
2012-11,36
2012-12,33
2013-01,50
2013-02,58
2013-03,36
2013-04,34
2013-05,32
2013-06,30
2013-07,33
2013-08,34
2013-09,30
2013-10,34
2013-11,35
2013-12,31
2014-01,53
2014-02,54
2014-03,37
2014-04,32
2014-05,34
2014-06,37
2014-07,37
2014-08,35
2014-09,31
2014-10,37
2014-11,37
2014-12,37
2015-01,51
2015-02,60
2015-03,43
2015-04,34
2015-05,31
2015-06,39
2015-07,36
2015-08,36
2015-09,35
2015-10,36
2015-11,39
2015-12,41
2016-01,51
2016-02,62
2016-03,38
2016-04,35
2016-05,40
2016-06,34
2016-07,39
2016-08,33
2016-09,33
2016-10,36
2016-11,38
2016-12,59
2017-01,69
2017-02,85
2017-03,64
2017-04,57
2017-05,54
2017-06,55
2017-07,56
2017-08,65
2017-09,57
2017-10,59
2017-11,62
2017-12,59
2018-01,74
2018-02,93
2018-03,70
2018-04,62
2018-05,59
2018-06,62
2018-07,61
2018-08,64
2018-09,62
2018-10,64
2018-11,64
2018-12,58
2019-01,70
2019-02,66
2019-03,45
2019-04,60
2019-05,65
2019-06,64
2019-07,72
2019-08,64
2019-09,67
2019-10,67
2019-11,61
2019-12,63
2020-01,83
2020-02,100
2020-03,74
2020-04,48
2020-05,51
2020-06,50
2020-07,58
2020-08,67
2020-09,67
2020-10,65
